,sb,sd,delta,elong_rate,tau
0,3.0147963,5.1497726,2.1349764,0.6876092408832758,47.5
1,1.885,3.9091146,2.0241148,0.5555281447091268,75.0
2,1.9499999,3.8349998,1.885,0.80865637586993,57.5
3,1.9499999,4.169441,2.2194412,0.6388630639939077,70.0
4,2.145,3.8349998,1.6899999,0.6656829962146164,57.5
5,2.0672784,4.6910815,2.6238031,0.758142125056339,65.0
6,2.145,4.391417,2.246417,0.49213254067205586,77.5
7,2.08,4.055663,1.9756633,0.815147528710303,52.5
8,2.1149514,4.640694,2.5257425,0.6179344856168851,75.0
9,1.8199999,3.805483,1.985483,0.8749833342316844,52.5
10,2.08,4.449124,2.3691237,0.6575791980636941,70.0
11,1.9499999,3.7989523,1.8489524,0.7411383941710684,57.5
12,1.9499999,3.77,1.8199999,0.8680905162839994,50.0
13,1.8199999,3.7766674,1.9566674,0.8126794846296154,55.0
14,2.2749999,4.289999,2.014999,0.7280848453032768,55.0
15,2.2749999,4.16,1.885,0.7846887244317761,50.0
16,2.0149999,4.449954,2.434954,0.7733643986628608,65.0
17,2.34,3.8999999,1.56,0.7147676668669042,47.5
18,2.08,3.7180235,1.6380235,0.6774838822901672,55.0
19,1.885,4.0949993,2.2099993,0.7201300331087765,67.5
20,2.0149999,4.1049423,2.0899425,0.8232742419423233,55.0
21,2.0292966,4.371186,2.3418894,0.5088768020099647,90.0
22,2.0229738,4.642784,2.6198106,0.8353112015357387,62.5
23,1.8199999,4.329648,2.5096478,0.9102572598664659,60.0
24,2.0149999,4.128352,2.1133523,0.8546198138942958,52.5
25,2.040803,3.7978954,1.7570925,0.8817795791862172,45.0
26,1.885,3.948716,2.063716,0.7500136492802536,62.5
27,1.885,4.13568,2.2506802,0.8575313496495428,57.5
28,2.08,3.9925125,1.9125125,0.7702240064546667,52.5
29,1.9499999,3.9612808,2.0112808,0.7861565506976584,57.5
30,2.0149999,4.1945796,2.1795797,0.7243682396930188,60.0
31,2.08,4.3345585,2.2545586,0.8326122395942456,55.0
32,1.365,3.4904819,2.1254818,0.9203949247087748,52.5
33,1.8486675,3.757578,1.9089103,0.937974963468662,40.0
34,3.1669817,4.9630218,1.7960403,0.7699573516845647,37.5
35,2.4699998,4.81,2.34,0.4914267241636064,82.5
36,2.145,4.095,1.9499999,0.6818665235470488,65.0
37,2.145,4.29,2.145,0.5594177484512338,77.5
38,2.145,4.509655,2.364655,0.5426130246715377,87.5
39,2.2749999,4.503653,2.2286532,0.72190318978351,60.0
40,2.08,4.1016703,2.0216703,0.7374719666061538,55.0
41,2.8621016,4.7431293,1.8810277,0.8421518734523196,37.5
42,2.5051396,4.605569,2.1004295,0.7533407862882442,55.0
43,2.2749999,4.1300173,1.8550174,0.6757078849279824,57.5
44,2.21,4.805994,2.595994,0.48316844560862887,100.0
45,1.7549999,3.6716177,1.9166178,0.7327759180313493,65.0
46,2.5094836,4.320777,1.8112935,0.7150017186215031,47.5
47,2.0131333,3.8166451,1.803512,0.47810445877319924,82.5
48,1.9499999,4.3561893,2.4061892,0.648953828504008,77.5
49,2.08,4.9100924,2.8300924,0.8299522771590765,65.0
