,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0052t0008r02,10,52,2,8,27,2.03125,3.87890625,1.8466796875,0.7412109375,57.0,0.526,0.39453125
f10p0052t0008r03,10,52,3,8,23,1.9033203125,3.71484375,1.8115234375,0.85546875,45.0,0.4963,0.456298828125
f10p0052t0010r01,10,52,1,10,24,2.015625,3.705078125,1.6904296875,0.8837890625,42.0,0.5415,0.4736328125
f10p0052t0024r01,10,52,1,24,46,1.7548828125,4.5546875,2.798828125,0.83251953125,66.0,0.5234,0.55712890625
f10p0052t0024r02,10,52,2,24,42,1.9501953125,4.44921875,2.5,0.9287109375,54.0,0.5415,0.485595703125
f10p0052t0027r04,10,52,4,27,44,1.5302734375,3.017578125,1.4873046875,0.81494140625,51.0,0.544,0.45458984375
f10p0052t0042r02,10,52,2,42,55,2.16015625,3.677734375,1.5166015625,0.830078125,39.0,0.551,0.53515625
f10p0052t0046r01,10,52,1,46,59,2.5390625,4.2578125,1.71875,0.826171875,39.0,0.5137,0.5078125
f10p0052t0046r02,10,52,2,46,64,2.015625,4.23046875,2.212890625,0.72509765625,54.0,0.5522,0.4765625
f10p0052t0055r03,10,52,3,55,70,1.966796875,3.9140625,1.9462890625,0.908203125,45.0,0.5493,0.482666015625
f10p0052t0055r04,10,52,4,55,72,1.7099609375,4.1796875,2.46875,0.9384765625,51.0,0.5454,0.53076171875
f10p0052t0059r01,10,52,1,59,77,2.16015625,4.2265625,2.064453125,0.7578125,54.0,0.5225,0.53857421875
f10p0052t0059r02,10,52,2,59,74,2.095703125,3.837890625,1.7412109375,0.79736328125,45.0,0.529,0.50830078125
f10p0052t0064r03,10,52,3,64,78,2.015625,3.599609375,1.583984375,0.77978515625,42.0,0.544,0.5068359375
f10p0052t0074r02,10,52,2,74,91,1.951171875,4.12890625,2.177734375,0.8740234375,51.0,0.5386,0.490234375
f10p0052t0074r03,10,52,3,74,91,1.8857421875,3.880859375,1.9951171875,0.830078125,51.0,0.525,0.443359375
f10p0052t0077r01,10,52,1,77,92,2.275390625,3.921875,1.646484375,0.765625,45.0,0.5195,0.5146484375
f10p0052t0077r02,10,52,2,77,91,1.9501953125,3.447265625,1.4970703125,0.82861328125,42.0,0.5444,0.546875
f10p0052t0091r02,10,52,2,91,108,1.8857421875,3.837890625,1.951171875,0.82177734375,51.0,0.553,0.50830078125
f10p0052t0091r03,10,52,3,91,112,1.5615234375,3.9921875,2.4296875,0.91015625,63.0,0.5347,0.525390625
f10p0052t0091r04,10,52,4,91,107,2.0234375,3.83984375,1.81640625,0.83447265625,48.0,0.5312,0.52587890625
f10p0052t0092r01,10,52,1,92,107,2.01953125,3.763671875,1.7431640625,0.85498046875,45.0,0.517,0.471435546875
f10p0052t0092r02,10,52,2,92,109,1.9033203125,3.984375,2.08203125,0.810546875,51.0,0.5366,0.50830078125
f10p0052t0107r01,10,52,1,107,127,1.7744140625,4.11328125,2.337890625,0.85693359375,60.0,0.5166,0.541015625
f10p0052t0107r02,10,52,2,107,124,1.98828125,3.931640625,1.943359375,0.83984375,51.0,0.5225,0.437744140625
f10p0052t0108r04,10,52,4,108,124,1.951171875,4.1015625,2.15234375,0.91015625,48.0,0.544,0.4921875
f10p0052t0109r03,10,52,3,109,126,2.0234375,4.171875,2.1484375,0.7880859375,51.0,0.5376,0.51611328125
