Channel,Events
13,1
16,2
17,1
18,1
19,3
20,1
21,4
22,5
23,10
24,13
25,18
26,10
27,17
28,13
29,17
30,23
31,39
32,42
33,46
34,63
35,83
36,100
37,93
38,140
39,166
40,215
41,357
42,483
43,626
44,737
45,699
46,713
47,600
48,493
49,391
50,321
51,282
52,279
53,233
54,243
55,226
56,203
57,224
58,245
59,215
60,220
61,217
62,236
63,215
64,212
65,196
66,230
67,208
68,252
69,216
70,228
71,204
72,224
73,228
74,234
75,201
76,205
77,210
78,203
79,234
80,218
81,237
82,222
83,257
84,253
85,276
86,279
87,301
88,331
89,272
90,336
91,319
92,350
93,315
94,283
95,292
96,241
97,199
98,189
99,165
100,154
101,113
102,98
103,91
104,78
105,74
106,81
107,54
108,65
109,51
110,44
111,49
112,49
113,46
114,46
115,43
116,36
117,51
118,34
119,31
120,39
121,36
122,29
123,27
124,27
125,22
126,30
127,14
128,30
129,27
130,26
131,20
132,24
133,20
134,16
135,17
136,26
137,26
138,12
139,22
140,11
141,19
142,19
143,16
144,13
145,16
146,17
147,15
148,15
149,15
150,13
151,18
152,16
153,10
154,10
155,14
156,5
157,14
158,9
159,10
160,18
161,13
162,7
163,6
164,12
165,13
166,7
167,14
168,9
169,4
170,3
171,7
172,4
173,7
174,6
175,4
176,7
177,8
178,8
179,5
180,6
181,1
182,5
183,6
184,2
185,6
186,6
187,4
188,2
189,3
190,3
191,2
192,1
193,2
194,2
195,2
196,2
197,1
198,1
199,3
200,4
201,2
202,2
203,3
204,2
205,3
206,1
208,2
209,2
210,1
211,3
213,1
215,2
218,1
219,1
220,1
222,1
224,2
225,2
227,3
228,2
231,3
232,1
233,2
236,2
238,1
240,2
241,1
243,3
244,1
