Channel,Events
12,1
13,1
14,4
15,2
16,5
17,2
18,3
19,3
20,3
21,11
22,13
23,29
24,36
25,43
26,34
27,23
28,26
29,28
30,29
31,41
32,49
33,68
34,97
35,121
36,130
37,130
38,116
39,111
40,110
41,155
42,251
43,390
44,653
45,966
46,1210
47,1185
48,1176
49,932
50,743
51,529
52,411
53,344
54,302
55,254
56,308
57,301
58,289
59,292
60,282
61,263
62,232
63,231
64,238
65,216
66,218
67,223
68,208
69,228
70,235
71,212
72,199
73,193
74,191
75,192
76,194
77,178
78,207
79,173
80,191
81,194
82,191
83,202
84,191
85,228
86,234
87,252
88,263
89,308
90,345
91,343
92,331
93,337
94,317
95,286
96,269
97,236
98,193
99,176
100,179
101,128
102,106
103,95
104,65
105,67
106,50
107,61
108,48
109,44
110,27
111,36
112,36
113,33
114,24
115,31
116,29
117,33
118,32
119,28
120,26
121,22
122,22
123,22
124,31
125,29
126,28
127,24
128,26
129,14
130,22
131,23
132,20
133,20
134,18
135,27
136,17
137,21
138,19
139,23
140,19
141,16
142,17
143,19
144,20
145,17
146,22
147,13
148,15
149,16
150,14
151,21
152,15
153,14
154,10
155,11
156,9
157,16
158,18
159,17
160,12
161,11
162,11
163,14
164,13
165,12
166,12
167,7
168,4
169,17
170,10
171,3
172,9
173,8
174,6
175,7
176,12
177,6
178,10
179,11
180,7
181,3
182,4
183,7
184,5
185,5
186,6
187,8
188,9
189,5
190,3
191,2
192,3
193,2
194,1
195,2
196,1
197,2
198,3
199,1
200,1
201,5
202,2
203,4
204,3
206,2
208,1
209,2
211,2
212,1
214,1
215,3
216,2
218,1
219,3
221,1
224,1
232,3
234,2
237,1
239,2
240,1
241,1
242,1
243,1
245,1
