Channel,Events
12,12
13,7
14,7
15,22
16,34
17,46
18,112
19,334
20,605
21,976
22,1297
23,1364
24,1381
25,1286
26,1111
27,956
28,943
29,817
30,838
31,789
32,764
33,760
34,667
35,702
36,684
37,715
38,715
39,710
40,627
41,629
42,524
43,411
44,366
45,238
46,169
47,136
48,82
49,67
50,58
51,32
52,37
53,22
54,33
55,21
56,24
57,16
58,23
59,18
60,18
61,15
62,19
63,20
64,14
65,17
66,8
67,9
68,8
69,8
70,11
71,14
72,8
73,7
74,9
75,11
76,6
77,4
78,6
79,4
80,5
81,2
82,4
83,2
84,2
86,3
87,1
88,3
89,1
90,1
92,1
93,1
94,1
95,1
97,2
99,1
100,1
101,1
103,1
105,1
106,1
107,3
109,1
112,2
114,1
115,3
117,1
118,1
120,1
122,2
134,2
149,1
150,1
151,1
169,1
176,1
180,1
181,2
185,1
216,1
