Channel,Events
12,16
13,12
14,22
15,29
16,26
17,33
18,99
19,236
20,551
21,808
22,1167
23,1315
24,1367
25,1258
26,1182
27,954
28,834
29,816
30,751
31,722
32,797
33,697
34,723
35,660
36,593
37,660
38,648
39,648
40,619
41,610
42,578
43,430
44,347
45,277
46,217
47,149
48,122
49,87
50,59
51,42
52,25
53,19
54,17
55,23
56,24
57,18
58,10
59,11
60,7
61,13
62,8
63,9
64,7
65,3
66,3
67,4
68,5
69,7
70,10
71,2
72,4
73,1
74,2
75,6
76,4
77,4
78,7
79,1
80,9
81,5
83,1
84,1
85,1
91,1
92,1
100,1
103,1
105,1
109,1
112,2
116,1
122,1
126,1
128,1
132,1
134,1
136,2
138,1
143,1
146,1
187,1
204,1
244,1
