Channel,Events
12,3
13,6
14,3
15,4
16,1
17,2
18,4
19,5
20,9
21,19
22,9
23,9
24,7
25,2
26,8
27,3
28,10
29,9
30,5
31,15
32,40
33,32
34,79
35,89
36,115
37,228
38,438
39,893
40,1678
41,2365
42,2445
43,1910
44,1179
45,569
46,246
47,97
48,54
49,41
50,54
51,59
52,81
53,87
54,93
55,108
56,166
57,176
58,235
59,255
60,286
61,301
62,350
63,341
64,356
65,381
66,367
67,304
68,343
69,320
70,282
71,290
72,243
73,263
74,234
75,250
76,243
77,212
78,252
79,204
80,212
81,214
82,215
83,172
84,116
85,103
86,55
87,50
88,19
89,9
90,10
91,5
92,7
93,7
94,9
95,10
96,3
97,9
98,5
99,9
100,6
101,11
102,6
103,5
104,12
105,7
106,7
107,5
108,1
109,5
110,5
111,5
112,7
113,5
114,4
115,3
116,2
117,2
118,6
119,3
120,2
121,7
123,3
124,3
125,4
126,2
128,1
130,2
131,2
132,1
133,1
134,2
135,3
138,2
140,1
141,5
142,2
143,1
144,2
145,1
146,1
147,2
148,1
152,1
153,1
154,1
155,1
156,2
158,1
161,2
162,1
163,1
164,1
165,1
172,1
175,1
182,1
183,1
190,1
191,2
195,1
199,2
208,1
210,1
215,1
217,1
219,1
230,1
236,1
238,1
241,1
245,1
