Channel,Events
12,14
13,15
14,6
15,4
16,4
17,6
18,4
19,8
20,7
21,8
22,7
23,8
24,11
25,17
26,12
27,4
28,8
29,6
30,1
31,11
32,13
33,12
34,17
35,17
36,22
37,25
38,24
39,27
40,36
41,37
42,66
43,128
44,277
45,443
46,690
47,935
48,1069
49,1020
50,976
51,865
52,745
53,677
54,632
55,675
56,596
57,605
58,577
59,493
60,460
61,384
62,321
63,271
64,195
65,168
66,153
67,116
68,100
69,72
70,58
71,55
72,46
73,43
74,52
75,57
76,65
77,80
78,87
79,117
80,144
81,158
82,189
83,207
84,243
85,270
86,336
87,405
88,494
89,525
90,579
91,624
92,683
93,595
94,585
95,466
96,421
97,314
98,204
99,160
100,139
101,115
102,80
103,57
104,59
105,39
106,38
107,35
108,23
109,27
110,20
111,9
112,17
113,14
114,7
115,3
116,13
117,6
118,5
119,5
120,3
121,1
122,2
123,6
124,3
125,6
126,2
127,2
128,3
129,2
130,6
131,2
132,5
133,3
134,7
135,4
136,4
137,1
138,4
139,4
140,3
141,3
143,5
144,5
145,5
146,3
147,5
148,2
149,2
150,3
151,4
152,1
153,1
154,1
155,1
158,3
160,3
161,4
162,2
163,3
164,2
165,2
166,1
167,2
168,3
169,3
172,1
174,2
175,3
176,2
177,2
178,2
181,2
182,1
183,2
184,1
185,2
186,1
187,1
191,1
193,3
194,1
197,1
200,2
202,1
205,1
212,2
214,1
215,1
216,1
220,1
224,1
225,1
232,1
235,1
236,1
237,1
238,1
240,1
