Channel,Events
12,3
13,5
14,2
16,4
18,5
19,17
20,33
21,41
22,103
23,154
24,285
25,376
26,529
27,713
28,891
29,959
30,1116
31,1132
32,1134
33,1065
34,915
35,860
36,825
37,735
38,753
39,684
40,760
41,675
42,656
43,635
44,625
45,535
46,453
47,450
48,347
49,335
50,285
51,300
52,238
53,166
54,152
55,113
56,97
57,82
58,63
59,45
60,33
61,29
62,21
63,14
64,22
65,20
66,6
67,9
68,4
69,17
70,11
71,12
72,12
73,13
74,11
75,15
76,10
77,7
78,9
79,4
80,6
81,9
82,4
83,1
84,4
85,7
86,7
87,5
88,3
89,4
90,2
91,7
92,2
93,4
94,4
95,4
96,5
97,2
98,2
99,6
100,6
101,6
102,1
103,6
104,2
105,7
106,3
108,6
109,2
110,1
111,3
112,2
113,2
114,3
115,1
116,3
118,1
120,2
121,5
122,1
125,1
127,1
128,1
129,1
131,1
134,2
135,1
141,1
142,2
144,1
146,1
147,1
148,2
149,2
152,2
154,1
155,1
157,2
158,1
159,1
168,2
172,2
173,1
179,2
180,1
182,1
192,1
196,1
197,1
198,1
203,1
204,2
208,1
221,1
222,1
223,1
226,1
233,1
