Channel,Events
12,7
13,4
14,4
15,1
16,9
17,9
18,5
19,9
20,19
21,30
22,64
23,101
24,214
25,295
26,383
27,570
28,730
29,853
30,1029
31,1126
32,1227
33,1151
34,1052
35,998
36,931
37,894
38,827
39,805
40,743
41,794
42,723
43,710
44,675
45,601
46,609
47,508
48,435
49,404
50,381
51,336
52,271
53,209
54,202
55,176
56,147
57,101
58,98
59,69
60,60
61,45
62,24
63,38
64,22
65,20
66,22
67,15
68,9
69,14
70,10
71,13
72,6
73,10
74,12
75,9
76,9
77,11
78,7
79,7
80,6
81,7
82,5
83,11
84,8
85,3
86,4
87,4
88,6
89,4
90,3
91,8
92,3
93,3
94,5
95,3
97,1
98,2
99,3
100,2
101,2
102,1
103,1
106,5
107,1
108,2
110,1
112,1
115,3
116,2
117,3
118,3
119,1
121,1
123,2
127,3
128,2
130,1
132,1
133,1
138,1
141,1
143,3
144,3
147,1
150,1
151,1
153,1
154,1
155,1
159,1
161,1
162,1
165,1
166,1
172,2
175,1
181,1
183,1
187,1
188,2
191,1
206,1
207,1
225,1
234,1
237,1
