Channel,Events
14,1
17,2
18,3
19,5
20,10
21,7
22,34
23,67
24,114
25,207
26,356
27,521
28,806
29,1005
30,1274
31,1528
32,1695
33,1748
34,1831
35,1814
36,1771
37,1614
38,1520
39,1330
40,1047
41,851
42,772
43,621
44,630
45,557
46,558
47,512
48,508
49,541
50,480
51,466
52,453
53,385
54,343
55,298
56,288
57,218
58,181
59,158
60,109
61,94
62,68
63,51
64,54
65,43
66,35
67,34
68,23
69,26
70,18
71,23
72,23
73,24
74,21
75,13
76,18
77,18
78,23
79,11
80,18
81,14
82,12
83,7
84,11
85,10
86,7
87,10
88,10
89,7
90,15
91,11
92,7
93,4
94,4
95,6
96,5
97,4
98,5
99,3
100,4
101,4
102,3
103,4
104,4
105,2
106,3
107,3
108,4
109,6
110,7
111,2
112,4
113,1
114,2
115,4
116,1
117,3
118,3
119,1
120,2
122,2
123,1
124,3
125,1
127,2
128,1
130,1
131,1
133,2
134,1
136,2
137,2
138,2
140,2
141,3
142,1
144,2
146,1
147,4
148,1
150,2
151,1
152,1
153,3
155,1
156,1
158,1
160,1
166,1
168,4
169,1
177,2
180,1
186,1
190,1
192,1
196,1
202,1
203,1
205,1
221,1
225,1
231,1
234,1
