Channel,Events
13,1
14,1
18,1
20,3
21,5
22,7
23,13
24,16
25,17
26,10
27,12
28,13
29,34
30,51
31,60
32,67
33,115
34,140
35,174
36,204
37,263
38,312
39,384
40,546
41,783
42,1167
43,1664
44,2418
45,2851
46,3350
47,3029
48,2402
49,1489
50,731
51,364
52,175
53,106
54,84
55,76
56,79
57,77
58,91
59,99
60,109
61,112
62,118
63,133
64,151
65,147
66,201
67,226
68,226
69,289
70,258
71,268
72,292
73,249
74,250
75,251
76,292
77,280
78,249
79,236
80,234
81,245
82,254
83,247
84,219
85,234
86,212
87,213
88,223
89,200
90,197
91,159
92,140
93,90
94,83
95,74
96,47
97,31
98,13
99,12
100,11
101,8
102,4
103,4
104,7
105,7
106,5
107,5
108,4
109,1
110,5
111,8
112,7
113,4
114,1
116,1
117,6
118,3
119,6
120,8
121,6
122,2
123,1
125,5
126,5
127,4
128,2
129,3
130,1
131,1
132,3
133,1
134,1
135,2
136,1
137,1
139,1
140,2
141,2
144,2
146,2
147,2
148,1
149,3
150,1
151,1
153,1
155,2
159,1
160,3
161,1
165,1
166,1
167,2
173,1
182,1
183,2
194,1
202,1
206,1
208,1
223,1
