Channel,Events
12,3
13,1
14,1
15,2
16,5
17,1
18,3
19,3
20,1
22,3
23,4
24,2
25,2
26,3
27,5
28,3
29,6
30,5
31,2
32,11
33,9
34,11
35,16
36,21
37,42
38,112
39,221
40,452
41,709
42,1076
43,1264
44,1361
45,1076
46,671
47,385
48,148
49,64
50,55
51,48
52,57
53,65
54,65
55,74
56,63
57,84
58,94
59,100
60,130
61,173
62,226
63,248
64,293
65,338
66,409
67,458
68,457
69,487
70,550
71,512
72,531
73,522
74,556
75,546
76,557
77,567
78,580
79,613
80,704
81,704
82,775
83,751
84,780
85,794
86,774
87,670
88,528
89,359
90,253
91,201
92,122
93,90
94,68
95,65
96,45
97,43
98,32
99,30
100,37
101,21
102,31
103,19
104,18
105,19
106,16
107,14
108,10
109,21
110,10
111,11
112,4
113,7
114,13
115,11
116,13
117,11
118,22
119,18
120,9
121,18
122,14
123,18
124,14
125,15
126,16
127,16
128,16
129,16
130,25
131,14
132,24
133,18
134,21
135,18
136,10
137,15
138,7
139,15
140,13
141,12
142,15
143,9
144,13
145,5
146,11
147,12
148,13
149,9
150,11
151,12
152,8
153,6
154,4
155,8
156,6
157,4
158,7
159,5
160,8
161,9
162,5
163,9
164,11
165,7
166,7
167,5
168,8
169,4
170,2
171,5
172,6
173,4
174,5
175,1
177,1
178,5
180,1
181,3
183,3
184,3
185,3
186,1
187,2
189,1
190,1
191,1
193,1
195,1
197,4
198,4
199,4
200,3
201,2
202,1
203,3
204,4
205,1
206,2
207,2
208,3
209,1
210,2
211,1
212,2
213,2
214,1
215,2
216,3
217,1
218,2
219,2
220,3
222,1
223,1
224,2
225,1
226,3
227,3
231,2
233,2
234,1
235,1
236,1
237,1
239,3
240,1
242,1
243,2
244,1
246,1
247,4
