Channel,Events
13,1
20,2
21,1
22,1
23,2
25,3
26,2
28,2
29,1
30,1
35,2
36,1
37,1
39,2
40,4
41,5
42,2
43,9
44,17
45,51
46,150
47,296
48,545
49,925
50,1294
51,1394
52,1214
53,979
54,569
55,260
56,131
57,52
58,20
59,28
60,31
61,34
62,26
63,44
64,41
65,65
66,56
67,93
68,129
69,151
70,214
71,235
72,273
73,328
74,395
75,429
76,426
77,456
78,425
79,421
80,433
81,477
82,419
83,381
84,419
85,406
86,387
87,388
88,404
89,442
90,440
91,516
92,656
93,734
94,783
95,979
96,1190
97,1313
98,1449
99,1380
100,1328
101,1159
102,988
103,700
104,514
105,326
106,210
107,138
108,90
109,61
110,61
111,49
112,38
113,31
114,25
115,23
116,16
117,24
118,10
119,15
120,7
121,7
122,11
123,19
124,14
125,13
126,11
127,11
128,8
129,11
130,4
131,8
132,9
133,11
134,11
135,8
136,6
137,12
138,17
139,17
140,22
141,24
142,23
143,21
144,18
145,22
146,24
147,17
148,32
149,32
150,30
151,43
152,36
153,35
154,24
155,29
156,28
157,22
158,19
159,18
160,20
161,17
162,16
163,20
164,15
165,19
166,22
167,25
168,13
169,15
170,16
171,12
172,12
173,14
174,9
175,23
176,11
177,9
178,9
179,15
180,13
181,5
182,10
183,11
184,7
185,9
186,11
187,6
188,4
189,5
190,3
191,7
192,7
193,9
194,7
195,8
196,11
197,6
198,10
199,3
200,4
201,3
202,4
203,1
204,2
205,1
206,5
207,2
210,4
212,2
216,2
217,2
218,1
219,1
223,2
224,2
226,3
227,1
234,1
237,1
243,5
244,2
246,1
