Channel,Events
13,1
17,1
19,3
20,4
21,4
22,6
23,1
24,5
25,5
26,4
27,10
28,6
29,4
30,7
31,7
32,8
33,9
34,14
35,6
36,6
37,9
38,6
39,9
40,13
41,17
42,16
43,24
44,26
45,57
46,108
47,188
48,356
49,532
50,697
51,1014
52,1296
53,1331
54,1408
55,1299
56,1182
57,960
58,793
59,583
60,497
61,354
62,356
63,307
64,307
65,335
66,293
67,311
68,324
69,303
70,279
71,248
72,245
73,231
74,204
75,225
76,152
77,175
78,167
79,156
80,154
81,132
82,148
83,123
84,114
85,121
86,126
87,120
88,146
89,145
90,159
91,181
92,218
93,246
94,288
95,363
96,366
97,433
98,453
99,488
100,565
101,513
102,580
103,621
104,550
105,564
106,533
107,492
108,515
109,434
110,383
111,331
112,309
113,277
114,225
115,193
116,188
117,149
118,159
119,143
120,119
121,84
122,109
123,77
124,53
125,48
126,46
127,46
128,53
129,44
130,29
131,29
132,31
133,31
134,25
135,17
136,21
137,21
138,11
139,16
140,13
141,18
142,17
143,18
144,14
145,17
146,13
147,17
148,11
149,14
150,11
151,15
152,7
153,11
154,9
155,13
156,15
157,9
158,17
159,13
160,7
161,14
162,22
163,6
164,10
165,14
166,18
167,12
168,10
169,9
170,9
171,9
172,9
173,3
174,10
175,6
176,5
177,7
178,3
179,8
180,6
181,3
182,5
183,9
184,5
185,4
186,12
187,6
188,5
189,9
190,9
191,7
192,5
193,5
194,7
195,2
196,2
197,5
198,10
199,5
200,3
201,3
202,4
203,9
204,3
205,3
206,3
207,7
208,7
209,3
210,4
211,6
212,8
213,5
214,10
215,2
216,8
217,3
218,1
219,4
220,2
221,1
222,2
225,1
227,2
228,1
229,2
232,1
233,1
234,1
235,4
236,3
239,3
242,1
243,1
244,1
245,1
246,1
