Channel,Events
12,2
13,3
15,7
16,3
17,8
18,10
19,3
20,10
21,16
22,19
23,20
24,17
25,22
26,19
27,13
28,15
29,8
30,15
31,10
32,13
33,15
34,18
35,17
36,28
37,39
38,44
39,64
40,124
41,232
42,445
43,657
44,888
45,1098
46,1369
47,1614
48,1724
49,1871
50,1782
51,1667
52,1460
53,1130
54,869
55,614
56,444
57,344
58,228
59,190
60,207
61,203
62,221
63,185
64,206
65,193
66,190
67,153
68,144
69,128
70,122
71,98
72,98
73,104
74,102
75,96
76,84
77,98
78,97
79,88
80,95
81,118
82,131
83,149
84,159
85,180
86,232
87,229
88,261
89,288
90,319
91,400
92,392
93,406
94,432
95,460
96,460
97,402
98,365
99,365
100,318
101,267
102,271
103,230
104,161
105,169
106,145
107,103
108,107
109,70
110,49
111,50
112,53
113,34
114,29
115,29
116,21
117,16
118,18
119,10
120,14
121,8
122,12
123,8
124,5
125,4
126,7
127,5
128,6
129,6
130,5
131,6
132,5
133,8
134,10
135,6
136,12
137,7
138,5
139,7
140,7
141,6
142,11
143,5
144,5
145,4
146,2
147,2
148,6
149,7
150,5
151,3
152,2
153,3
154,2
155,3
156,1
157,2
158,2
159,1
160,2
161,2
162,2
165,3
166,3
170,4
171,3
173,2
177,2
179,2
181,1
182,1
183,3
184,1
186,3
187,1
189,2
190,3
191,4
192,4
193,3
194,1
195,2
196,1
197,1
198,3
199,2
200,1
203,2
204,2
207,2
211,1
213,2
214,1
218,1
222,1
225,1
226,1
227,1
231,1
241,1
243,1
