Channel,Events
12,19
13,23
14,21
15,21
16,14
17,11
18,12
19,3
20,8
21,9
22,7
23,8
24,5
25,4
26,6
27,5
28,6
29,7
30,12
31,11
32,7
33,3
34,8
35,4
36,3
37,5
38,6
39,3
40,9
41,7
42,8
43,12
44,12
45,7
46,20
47,19
48,17
49,38
50,53
51,99
52,168
53,230
54,348
55,442
56,555
57,528
58,504
59,439
60,351
61,272
62,257
63,206
64,179
65,202
66,186
67,220
68,237
69,287
70,247
71,289
72,236
73,250
74,231
75,190
76,187
77,196
78,189
79,178
80,171
81,142
82,154
83,161
84,160
85,147
86,128
87,116
88,144
89,127
90,131
91,129
92,119
93,145
94,143
95,142
96,172
97,211
98,257
99,303
100,384
101,497
102,575
103,664
104,771
105,848
106,908
107,919
108,1086
109,1052
110,1015
111,887
112,873
113,854
114,775
115,702
116,577
117,545
118,497
119,421
120,391
121,336
122,327
123,264
124,256
125,216
126,203
127,180
128,151
129,169
130,125
131,151
132,122
133,85
134,91
135,68
136,74
137,54
138,66
139,56
140,56
141,41
142,45
143,34
144,37
145,33
146,26
147,22
148,26
149,23
150,16
151,23
152,18
153,15
154,17
155,11
156,17
157,5
158,11
159,10
160,12
161,12
162,6
163,6
164,7
165,10
166,5
167,8
168,6
169,7
170,9
171,13
172,6
173,6
174,6
175,5
176,10
177,3
178,4
180,5
181,5
182,5
183,10
184,5
185,3
186,2
187,3
188,2
189,4
190,7
191,3
192,4
194,1
196,3
197,5
198,8
199,4
200,6
201,5
202,6
203,4
204,6
205,6
206,3
207,4
208,2
209,10
210,6
211,4
212,7
213,6
214,2
215,6
216,6
217,3
218,3
219,3
220,2
221,5
222,7
223,4
224,2
225,5
226,6
227,3
228,1
229,3
230,6
231,3
232,2
233,3
234,1
235,1
237,2
238,2
239,1
240,2
241,4
242,3
244,2
245,2
246,3
