Channel,Events
12,1
14,2
15,1
16,1
17,1
18,4
19,9
20,18
21,30
22,83
23,148
24,264
25,412
26,719
27,952
28,1334
29,1584
30,1699
31,1761
32,1794
33,1704
34,1634
35,1523
36,1400
37,1307
38,1175
39,1159
40,1087
41,978
42,915
43,838
44,722
45,633
46,557
47,552
48,432
49,386
50,336
51,316
52,221
53,215
54,189
55,155
56,150
57,100
58,94
59,68
60,68
61,45
62,50
63,36
64,33
65,29
66,15
67,17
68,23
69,10
70,16
71,7
72,6
73,9
74,7
75,2
76,6
77,5
78,3
79,6
80,5
81,2
82,2
83,3
84,3
85,4
86,4
87,1
88,2
90,3
91,2
92,1
93,3
95,2
96,2
99,1
100,3
101,3
102,1
103,2
107,2
108,1
110,2
113,2
114,1
115,1
116,1
117,2
121,3
123,1
126,1
128,1
130,1
134,1
137,1
138,1
139,1
141,1
155,1
157,1
158,1
163,1
166,1
171,1
173,1
193,1
208,1
218,1
246,1
