Channel,Events
12,10
13,9
14,6
15,11
16,10
17,11
18,4
19,9
20,9
21,4
22,10
23,5
24,4
25,3
26,8
27,9
28,12
29,29
30,51
31,81
32,102
33,174
34,237
35,304
36,408
37,542
38,725
39,1038
40,1469
41,1916
42,1979
43,1738
44,1226
45,709
46,441
47,315
48,353
49,386
50,524
51,571
52,598
53,657
54,684
55,670
56,685
57,653
58,697
59,659
60,661
61,644
62,652
63,604
64,552
65,517
66,491
67,486
68,435
69,447
70,420
71,362
72,336
73,294
74,308
75,278
76,243
77,237
78,216
79,204
80,178
81,172
82,149
83,137
84,107
85,99
86,49
87,48
88,32
89,25
90,18
91,14
92,13
93,15
94,6
95,9
96,10
97,8
98,8
99,10
100,14
101,5
102,19
103,7
104,11
105,12
106,8
107,12
108,8
109,5
110,4
111,4
112,3
113,8
114,6
115,8
116,3
117,5
118,6
119,5
120,6
121,7
122,1
123,4
124,4
125,5
126,5
128,2
129,3
130,2
131,2
132,3
133,2
134,1
135,1
136,2
137,7
138,1
139,4
140,4
141,3
142,4
143,3
144,2
145,1
150,2
152,1
154,1
156,2
157,1
159,1
160,1
161,2
163,1
164,1
166,1
168,1
169,1
170,2
174,1
176,1
177,1
180,1
184,1
186,1
188,1
195,1
197,1
199,1
207,1
209,1
210,1
218,1
222,1
223,1
232,1
240,1
245,1
247,1
