Channel,Events
12,8
13,7
14,8
15,10
16,4
17,6
18,7
19,9
20,8
21,6
22,10
23,13
24,4
25,5
26,7
27,11
28,2
29,8
30,5
31,11
32,9
33,8
34,14
35,14
36,9
37,11
38,39
39,84
40,247
41,588
42,1033
43,1691
44,2089
45,1965
46,1575
47,1066
48,672
49,298
50,177
51,80
52,91
53,92
54,116
55,134
56,142
57,121
58,107
59,79
60,46
61,45
62,22
63,31
64,37
65,46
66,48
67,62
68,79
69,64
70,91
71,120
72,162
73,179
74,214
75,250
76,301
77,318
78,348
79,420
80,499
81,565
82,727
83,860
84,1106
85,1127
86,1259
87,1267
88,1240
89,1047
90,987
91,744
92,628
93,463
94,376
95,264
96,219
97,174
98,148
99,104
100,90
101,81
102,78
103,48
104,50
105,41
106,24
107,26
108,21
109,17
110,19
111,15
112,21
113,20
114,12
115,9
116,9
117,9
118,9
119,7
120,5
121,12
122,9
123,9
124,6
125,11
126,10
127,10
128,4
129,12
130,4
131,5
132,5
133,11
134,4
135,6
136,6
137,4
138,7
139,6
140,5
141,4
142,7
143,2
144,5
145,1
146,3
147,1
148,2
149,2
150,4
151,5
152,2
153,6
154,5
155,5
156,4
157,3
158,9
159,7
160,4
161,5
162,6
163,8
164,4
165,4
166,3
167,8
168,4
169,13
170,4
171,6
172,6
173,3
174,4
175,6
176,3
177,8
178,8
179,2
180,2
181,1
182,3
183,3
184,4
185,1
186,3
187,1
188,1
189,3
190,1
192,2
193,2
196,1
202,1
207,1
208,1
209,1
210,1
214,1
221,1
222,1
226,1
230,1
232,1
233,2
234,1
239,1
240,1
241,1
242,1
243,2
244,1
246,1
